Name,Age,Major,GPA
Student9595,21,History,3.48
Student2064,23,Mechanical Engineering,3.98
Student9813,19,History,3.4
Student313,19,Psychology,3.02
Student8324,24,History,3.42
Student8594,23,Computer Science,3.48
Student9106,20,Biology,3.97
Student6664,18,Mechanical Engineering,2.53
Student1433,19,English,2.77
Student2143,19,History,3.65
Student3236,19,Mechanical Engineering,3.3
Student1789,19,History,2.91
Student3714,21,Psychology,3.21
Student3735,21,Psychology,3.13
Student8996,24,History,3.49
Student9451,24,Mechanical Engineering,2.61
Student4638,23,Biology,4.0
Student7352,20,Computer Science,3.86
Student7567,19,Biology,2.92
Student8099,24,Biology,3.32
Student3780,21,Psychology,2.56
Student9704,19,Mechanical Engineering,3.2
Student5770,21,Mechanical Engineering,2.65
Student2491,21,Computer Science,3.86
Student8886,22,Psychology,3.87
Student8023,20,Mechanical Engineering,3.92
Student7123,19,Computer Science,3.53
Student9271,18,Computer Science,3.27
Student1699,22,Biology,3.31
Student7437,21,English,3.46
Student5717,19,English,3.7
Student4942,24,History,3.47
Student8119,22,Psychology,2.82
Student1754,19,Computer Science,3.5
Student4871,22,Mechanical Engineering,3.44
Student9917,20,English,3.79
Student9602,20,Mechanical Engineering,3.31
Student985,21,English,2.69
Student1204,19,Computer Science,3.92
Student9485,23,Mechanical Engineering,3.94
Student4087,18,Psychology,3.16
Student673,18,History,3.63
Student6313,20,Psychology,3.64
Student2562,22,Computer Science,3.47
Student9621,21,History,3.66
Student4724,20,History,2.66
Student3057,23,Mechanical Engineering,3.74
Student2310,24,English,3.46
Student2653,19,Biology,3.38
Student5787,20,Mechanical Engineering,3.38
Student6527,20,Biology,3.38
Student4717,24,History,2.88
Student6285,23,Biology,3.05
Student8907,22,English,2.74
Student427,21,Psychology,2.6
Student4093,19,Mechanical Engineering,3.46
Student4749,23,Computer Science,3.5
Student4597,21,History,3.24
Student8351,19,Mechanical Engineering,2.99
Student477,19,History,2.84
Student4963,24,Psychology,2.69
Student7258,19,Biology,2.71
Student5998,22,Psychology,3.07
Student7939,23,Mechanical Engineering,3.88
Student8021,18,History,3.96
Student9430,22,History,3.41
Student5754,19,History,2.74
Student3479,18,Biology,3.01
Student4384,19,History,3.09
Student6084,22,Computer Science,3.31
Student4600,20,History,3.66
Student6443,23,Mechanical Engineering,3.76
Student1663,21,Mechanical Engineering,2.99
Student4549,20,Psychology,3.59
Student4194,22,History,2.56
Student239,24,Biology,3.46
Student5296,24,Biology,3.97
Student5288,23,Computer Science,2.53
Student2944,18,Psychology,3.9
Student4437,18,Biology,2.59
Student4214,23,Computer Science,2.7
Student2588,23,Mechanical Engineering,3.82
Student4750,19,Mechanical Engineering,3.63
Student5164,21,Computer Science,2.55
Student8366,22,Mechanical Engineering,3.22
Student3301,22,Mechanical Engineering,3.54
Student2497,23,Biology,3.61
Student4731,22,History,3.43
Student5890,18,Biology,2.66
Student1300,18,History,3.61
Student7267,24,History,3.81
Student7609,19,Biology,3.38
Student8056,19,Psychology,2.71
Student3214,19,Mechanical Engineering,2.75
Student2189,24,English,3.65
Student5872,20,Computer Science,2.86
Student7990,18,History,2.89
Student3385,20,Computer Science,2.86
Student4188,20,Computer Science,3.71
Student5486,23,History,3.56
Student2199,18,History,3.54
Student8635,23,Psychology,3.09
Student5519,20,English,3.87
Student2821,24,Psychology,2.81
Student9003,21,Biology,2.56
Student5246,24,Computer Science,3.75
Student2345,18,Biology,3.09
Student8718,22,History,3.29
Student5315,23,Computer Science,3.88
Student7813,23,History,2.81
Student6681,20,History,3.86
Student3954,19,History,3.79
Student4270,22,Mechanical Engineering,3.43
Student1177,22,History,3.54
Student7519,24,English,2.59
Student2714,24,Biology,2.53
Student6215,18,English,3.78
Student6366,18,English,3.12
Student211,23,History,3.19
Student2767,18,Mechanical Engineering,3.2
Student6416,19,Psychology,3.87
Student6551,22,Psychology,2.96
Student5697,23,Psychology,3.85
Student7575,21,History,3.46
Student1979,22,English,2.75
Student8700,24,Mechanical Engineering,3.68
Student7921,21,English,2.61
Student4418,21,Mechanical Engineering,3.17
Student4962,19,History,3.08
Student4972,20,Psychology,3.64
Student9964,22,History,3.92
Student8477,23,Psychology,3.39
Student525,23,Computer Science,3.59
Student6795,18,Biology,3.52
Student7848,19,Biology,3.83
Student5933,19,History,3.98
Student5025,23,Computer Science,3.79
Student8961,20,Mechanical Engineering,3.7
Student216,18,Computer Science,3.42
Student5393,24,Psychology,3.9
Student4660,20,Mechanical Engineering,2.97
Student9125,23,Biology,2.94
Student8755,19,Psychology,3.62
Student2311,22,Biology,3.06
Student7236,24,History,2.55
Student4732,24,Mechanical Engineering,2.94
Student3837,23,Psychology,2.82
Student3927,18,Mechanical Engineering,2.83
Student2538,23,Mechanical Engineering,3.27
Student807,23,English,2.7
Student2769,19,English,2.62
Student4788,20,Mechanical Engineering,3.13
Student7008,23,Biology,3.63
Student3940,18,English,3.26
Student9906,18,History,2.83
Student5452,21,Mechanical Engineering,3.72
Student9705,20,English,3.65
Student1955,24,Computer Science,3.59
Student2639,19,Biology,2.84
Student874,24,Computer Science,3.05
Student1393,24,Mechanical Engineering,3.81
Student1244,21,History,3.5
Student2961,22,Computer Science,2.79
Student2830,21,Mechanical Engineering,2.53
Student6560,22,Mechanical Engineering,2.68
Student7454,19,Psychology,3.78
Student7642,22,Psychology,2.51
Student7662,18,Mechanical Engineering,3.2
Student1841,21,History,3.73
Student7228,24,Psychology,3.27
Student3213,19,History,3.13
Student6439,21,Computer Science,2.54
Student3278,23,Psychology,2.89
Student8111,23,Biology,3.4
Student387,20,History,3.26
Student8291,18,Psychology,2.77
Student3106,19,English,3.68
Student420,21,Computer Science,3.1
Student7186,19,English,3.41
Student8313,24,Psychology,3.19
Student3905,20,Mechanical Engineering,3.7
Student920,24,Mechanical Engineering,3.7
Student6597,21,History,2.99
Student1025,18,Mechanical Engineering,3.06
Student6744,23,Computer Science,2.8
Student6123,21,History,3.11
Student5115,24,History,3.73
Student4000,22,Biology,3.18
Student8696,19,Biology,2.68
Student507,22,Psychology,3.06
Student4703,18,History,2.79
Student8439,18,Mechanical Engineering,3.29
Student3885,24,History,3.78
Student4365,24,Psychology,3.89
Student2803,19,Mechanical Engineering,2.89
Student3986,20,History,3.62
Student1518,19,Psychology,2.65
Student3437,20,Psychology,2.89
Student2404,23,Computer Science,2.52
Student4211,23,Biology,3.11
Student3122,24,History,3.36
Student9442,20,Psychology,2.97
Student5096,21,Biology,3.08
Student8328,23,Mechanical Engineering,3.91
Student2569,21,History,2.63
Student6496,19,History,2.58
Student8486,24,Computer Science,3.86
Student489,19,Psychology,3.48
Student6312,18,Mechanical Engineering,2.97
Student4492,20,Psychology,3.63
Student5835,22,Mechanical Engineering,2.96
Student6086,19,Psychology,3.22
Student8097,24,Psychology,2.56
Student4439,20,English,3.08
Student3373,23,Computer Science,3.31
Student556,20,History,2.63
Student1710,20,Computer Science,3.31
Student3425,18,Psychology,3.95
Student9857,22,History,3.42
Student7506,22,Computer Science,2.69
Student1585,20,English,3.32
Student4716,20,Psychology,2.77
Student9728,19,Mechanical Engineering,3.9
Student5822,21,Biology,2.87
Student1253,19,English,3.12
Student6543,21,Computer Science,3.98
Student4912,20,Psychology,3.57
Student9626,19,Biology,2.7
Student2774,23,English,3.54
Student8703,20,English,3.8
Student3573,20,Psychology,3.96
Student3652,18,Computer Science,3.46
Student5381,23,Psychology,2.77
Student5615,20,English,2.79
Student1561,23,English,3.87
Student3826,23,History,2.87
Student6714,20,History,3.31
Student3604,24,Psychology,3.82
Student330,19,English,3.53
Student1945,24,Psychology,3.02
Student1615,23,Biology,3.55
Student9555,24,Biology,3.23
Student8590,18,Psychology,3.42
Student3223,18,Biology,3.33
Student9773,22,English,3.94
Student6421,21,Computer Science,2.91
Student7947,18,Computer Science,2.77
Student5085,21,English,2.72
Student6175,23,History,3.04
Student2742,18,History,3.69
Student5953,24,Mechanical Engineering,3.03
Student7644,21,Computer Science,3.95
Student1965,23,History,3.15
Student301,23,Biology,3.94
Student903,19,Psychology,3.87
Student7792,19,Computer Science,3.99
Student380,22,Mechanical Engineering,2.77
Student4239,23,History,2.51
Student7866,22,Mechanical Engineering,3.67
Student5576,19,English,2.55
Student5871,23,Mechanical Engineering,3.22
Student4097,21,English,2.78
Student790,18,Mechanical Engineering,3.14
Student805,19,Psychology,2.69
Student661,20,Psychology,3.8
Student3757,24,History,3.99
Student3689,18,Computer Science,3.33
Student6308,22,Computer Science,3.03
Student7821,23,History,3.16
Student5668,22,Biology,3.18
Student1658,18,Mechanical Engineering,2.6
Student1837,19,Computer Science,3.79
Student236,24,Mechanical Engineering,2.81
Student7109,24,Computer Science,3.82
Student7585,22,Computer Science,3.1
Student6065,24,Psychology,3.84
Student8985,21,English,3.97
Student8589,19,Biology,3.23
Student2067,19,Computer Science,3.4
Student6943,21,English,3.25
Student4297,21,English,3.03
Student73,20,Computer Science,3.46
Student1706,24,Biology,3.62
Student3198,21,Psychology,2.91
Student3422,20,English,3.58
Student1750,24,Psychology,3.89
Student7086,22,English,3.85
Student2604,19,Biology,3.11
Student4723,23,Biology,3.6
Student2125,22,English,2.96
Student175,24,English,3.87
Student8418,22,Biology,3.83
Student6452,22,Biology,3.0
Student404,21,Computer Science,2.91
Student2451,19,Mechanical Engineering,3.65
Student9085,19,History,3.33
Student9856,22,History,3.89
Student3091,21,History,2.56
Student8821,24,Mechanical Engineering,3.17
Student5606,20,Computer Science,2.5
Student7342,18,English,2.64
Student1511,22,Mechanical Engineering,2.99
Student2134,20,History,3.89
Student1207,23,Computer Science,3.62
Student1120,19,Psychology,2.61
Student5896,20,Psychology,3.9
Student7838,22,Psychology,3.07
Student9180,21,English,3.86
Student7917,22,Computer Science,2.94
Student4056,20,Mechanical Engineering,3.64
Student4960,21,English,3.37
Student3347,23,Computer Science,2.64
Student9397,19,Psychology,3.2
Student3865,24,Computer Science,3.72
Student3136,19,Mechanical Engineering,3.07
Student791,23,Psychology,2.6
Student897,24,English,3.14
Student3880,20,Computer Science,2.52
Student474,23,Psychology,2.79
Student1591,20,History,3.88
Student9766,20,History,3.06
Student741,22,English,3.13
Student1719,21,English,3.28
Student6402,18,Biology,2.94
Student8153,19,History,3.7
Student2453,21,Mechanical Engineering,3.01
Student2502,21,Mechanical Engineering,3.66
Student8528,19,Psychology,3.01
Student2687,19,Biology,3.17
Student3249,20,Psychology,3.31
Student1439,23,Psychology,3.87
Student7543,20,English,3.63
Student9393,23,Psychology,2.86
Student1428,23,English,3.51
Student1589,19,Biology,2.57
Student4774,23,Computer Science,2.6
Student348,19,Mechanical Engineering,2.84
Student6227,21,Mechanical Engineering,2.64
Student6505,23,Mechanical Engineering,3.3
Student8631,22,Computer Science,2.52
Student7663,22,Mechanical Engineering,2.76
Student7410,18,Biology,3.52
Student3786,19,Psychology,2.8
Student606,19,Computer Science,3.84
Student8546,21,History,3.05
Student9591,24,Mechanical Engineering,3.56
Student8121,18,History,3.35
Student2602,21,Biology,3.05
Student2080,22,Computer Science,2.59
Student4452,18,History,3.82
Student4810,20,Psychology,3.31
Student2417,23,Biology,2.9
Student7976,21,History,3.4
Student755,22,English,3.53
Student492,23,Computer Science,2.97
Student2099,19,Biology,2.89
Student9487,20,Mechanical Engineering,2.55
Student6083,23,Computer Science,3.97
Student3123,24,Biology,2.51
Student7694,23,History,3.18
Student6575,22,Mechanical Engineering,3.13
Student2669,24,Biology,3.38
Student5013,23,English,3.56
Student7970,24,Biology,3.3
Student9236,20,English,3.06
Student6087,22,English,3.83
Student4624,20,Psychology,2.98
Student5221,20,History,3.07
Student6736,19,Psychology,2.74
Student1579,22,Computer Science,3.6
Student3380,19,History,3.73
Student8380,24,Computer Science,3.67
Student3496,24,Biology,3.56
Student8819,24,Computer Science,2.95
Student6095,24,Psychology,2.65
Student3705,22,Mechanical Engineering,3.65
Student2969,20,English,2.51
Student842,20,Computer Science,3.33
Student91,20,Mechanical Engineering,3.8
Student4215,23,Computer Science,3.81
Student8747,23,Psychology,3.12
Student3853,18,Psychology,3.43
Student4830,20,Mechanical Engineering,3.48
Student9323,22,Mechanical Engineering,4.0
Student6820,21,Computer Science,3.54
Student9553,24,Computer Science,3.81
Student4386,21,Psychology,2.99
Student3610,23,Computer Science,3.38
Student9864,22,Mechanical Engineering,3.47
Student768,19,English,2.61
Student6913,20,Psychology,3.61
Student246,21,History,2.84
Student1996,23,Mechanical Engineering,2.65
Student9,22,English,2.91
Student5552,23,English,2.84
Student9854,18,Mechanical Engineering,3.22
Student3536,18,English,2.72
Student7467,18,Psychology,3.1
Student857,21,Computer Science,3.47
Student4527,23,Mechanical Engineering,3.97
Student4444,21,Computer Science,2.61
Student5353,24,Psychology,2.94
Student7973,21,Computer Science,3.32
Student7727,21,Biology,3.23
Student4559,22,History,3.83
Student116,21,Mechanical Engineering,3.14
Student7125,24,History,3.04
Student662,21,Computer Science,3.61
Student7372,21,English,2.83
Student6695,23,Biology,3.46
Student9355,21,Psychology,3.24
Student2840,18,Biology,3.3
Student3667,22,English,3.23
Student9492,22,Computer Science,3.0
Student6190,18,Psychology,2.89
Student4345,18,Computer Science,3.51
Student1880,18,English,2.87
Student9089,22,Computer Science,2.72
Student7696,22,Computer Science,3.56
Student9205,24,Mechanical Engineering,3.6
Student9481,23,Computer Science,3.19
Student1535,24,Computer Science,3.73
Student1010,20,Biology,3.86
Student3161,18,Computer Science,2.85
Student9295,23,Computer Science,3.61
Student3349,23,Mechanical Engineering,3.62
Student3672,20,Computer Science,2.79
Student8256,18,English,3.25
Student1907,24,Computer Science,2.66
Student2978,23,Psychology,3.0
Student1763,23,Biology,3.19
Student7688,21,Mechanical Engineering,3.68
Student679,20,Computer Science,3.76
Student5056,22,Mechanical Engineering,2.93
Student26,19,History,3.79
Student9426,21,Biology,3.54
Student4790,21,Mechanical Engineering,3.15
Student8158,20,Biology,3.39
Student849,22,Mechanical Engineering,3.66
Student6715,19,Biology,3.64
Student4767,21,English,3.97
Student6813,18,Biology,3.79
Student8763,23,Psychology,2.91
Student95,20,Biology,3.68
Student2367,22,Mechanical Engineering,2.87
Student1981,24,Biology,3.81
Student1831,19,Psychology,2.87
Student1018,21,English,3.39
Student1775,21,English,2.89
Student3819,20,Mechanical Engineering,3.85
Student6472,21,English,3.21
Student360,22,History,3.68
Student7102,20,Psychology,3.76
Student9989,18,History,3.36
Student4059,19,Psychology,3.39
Student5268,18,Psychology,3.64
Student4619,19,Mechanical Engineering,3.58
Student8957,18,History,3.77
Student9083,21,Computer Science,3.35
Student7339,22,Psychology,3.18
Student1173,23,English,3.85
Student7464,23,History,2.88
Student5793,18,History,2.99
Student9435,19,English,3.56
Student9527,21,English,3.45
Student9289,20,Mechanical Engineering,3.25
Student3970,22,English,3.77
Student3498,23,Mechanical Engineering,2.71
Student5536,18,Computer Science,3.14
Student7211,23,Psychology,3.33
Student9799,24,English,2.75
Student5830,19,Psychology,3.77
Student6986,23,History,3.21
Student7439,24,History,2.52
Student7308,23,Computer Science,3.93
Student3653,24,History,3.45
Student6624,24,Psychology,3.14
Student29,20,Computer Science,2.73
Student6902,18,History,2.95
Student7079,22,History,3.51
Student3800,22,English,3.12
Student1353,24,Mechanical Engineering,3.13
Student3702,24,History,3.64
Student3560,19,English,3.45
Student4720,24,Computer Science,3.74
Student8350,20,Psychology,3.93
Student8346,18,Biology,3.8
Student5491,22,Computer Science,3.6
Student4187,22,Computer Science,3.46
Student9791,23,History,3.1
Student4809,19,Biology,2.9
Student222,19,Psychology,3.04
Student4392,20,History,3.31
